Peano Meter,Final Voltage A (V),Final Voltage B (V),Final Voltage C (V),Distance to Transformer (m),Load A (kW),Load B (kW),Load C (kW),Group,Phases,Meter X,Meter Y,New Phase,New Load A,New Load B,New Load C
C869908,223.32283682758532,221.9645648588059,225.6425757366605,287.2634523792657,0.1,0.0,0.0,Group 1,A,1101278.4311085,1650781.6635490002,B,0.0,0.1,0.0
6100611742,223.8683389043416,220.4543861234822,226.2355426401582,260.4306275943574,0.29,0.0,0.0,Group 1,A,1101339.2771085,1650872.1395490002,C,0.0,0.0,0.29
22549209,223.1566112659204,215.13544482187552,225.65885332680637,495.1589549803606,0.0,0.25,0.0,Group 1,B,1101580.2841085,1650842.490549,B,0.0,0.25,0.0
6001243196,223.1566112659204,214.7720899443031,225.65885332680637,589.2714870647887,0.0,0.58,0.0,Group 1,B,1101666.6901085,1650829.128549,B,0.0,0.58,0.0
23656016,225.138909681252,223.42888034674925,226.9768947659938,171.85873261141117,0.0,0.0,0.1,Group 1,C,1101237.3381085,1650867.8965490002,B,0.0,0.1,0.0
5800157738,224.25146199669013,225.58514908187271,225.80306532776567,136.64934234133466,0.0,0.0,0.0,Group 2,B,1100980.1611085,1650654.8965490002,C,0.0,0.0,0.0
6200462869,221.29386951208033,226.74507727994717,226.69300423802935,250.87816747573987,0.0,0.0,0.14,Group 1,C,1101083.6441085,1650634.516549,B,0.0,0.14,0.0
21447511,227.01824565137287,229.07895567966654,227.9936666884015,248.94861430343343,0.22,0.0,0.0,Group 1,A,1100958.8211085,1650931.8395490001,A,0.22,0.0,0.0
5901044690,216.48803341738838,222.10155445379715,225.0688490891547,417.2122555561161,0.31,0.0,0.0,Group 2,A,1100709.3481085,1650683.482549,A,0.31,0.0,0.0
6300335140,218.65577641343322,222.3620351336902,225.13822820137204,300.2587653952445,0.0,0.0,0.17,Group 2,C,1100831.9681085,1650672.7955490001,C,0.0,0.0,0.17
22039981,216.85624527527196,222.10155445379715,225.0688490891547,376.9248776477245,0.25,0.0,0.0,Group 2,A,1100749.3031085,1650674.598549,B,0.0,0.25,0.0
A114490,214.99174186007252,222.2010773323243,225.05787102503933,501.78224812556965,0.18,0.0,0.0,Group 2,A,1100716.2021085,1650609.9885490001,A,0.18,0.0,0.0
6300304406,214.94703749851377,222.2010773323243,225.05787102503933,506.8148883148983,0.07,0.0,0.0,Group 2,A,1100694.5101085,1650601.431549,A,0.07,0.0,0.0
28900498,214.84507936469637,222.2010773323243,225.05787102503933,534.8077791582697,0.06,0.0,0.0,Group 2,A,1100688.0101085,1650607.799549,A,0.06,0.0,0.0
15693926,214.81400857659864,222.2010773323243,225.05787102503933,594.4889711171792,0.14,0.0,0.0,Group 2,A,1100646.4841085,1650634.333549,A,0.14,0.0,0.0
6200258099,227.33819006137873,229.23143844591596,228.394474534433,170.69354845258601,0.0,0.0,0.14,Group 1,C,1100987.5621085,1650944.044549,C,0.0,0.0,0.14
6300304402,227.55398627106908,229.34820280460892,228.8533571527244,173.55007995417648,0.12,0.0,0.0,Group 1,A,1101026.6481085,1650980.9885490001,A,0.12,0.0,0.0
20452743,228.09596751012344,229.41386851237968,229.0936941495531,76.75131902428355,0.33,0.0,0.0,Group 1,A,1101071.4861085,1650929.408549,C,0.0,0.0,0.33
24039538,228.94721444480993,229.68056860149875,229.51098629356716,39.883331423,0.14,0.0,0.0,Group 1,A,1101076.8891085,1650892.611549,A,0.14,0.0,0.0
5600570168,227.51101769711866,228.73718944469573,229.07349944211072,302.10244079505856,0.01,0.0,0.0,Group 1,A,1100823.9471085,1650907.2755490001,A,0.01,0.0,0.0
6000078216,224.73551513003457,226.08221081292476,225.82066499028147,207.00439483886052,0.32,0.0,0.0,Group 2,A,1101039.5661085,1650571.0695490001,C,0.0,0.0,0.32
22456412,220.25063905754135,222.1827120299445,225.23329609762717,291.13348982337936,0.0,0.09,0.0,Group 2,B,1100856.9461085,1650621.115549,A,0.09,0.0,0.0
5901031954,229.87631673160794,229.91647166783127,229.95350305965354,7.824257223834014,0.24,0.0,0.0,Group 1,A,1101082.0571085,1650861.972549,A,0.24,0.0,0.0
15287260,228.12535918239885,229.34478293122652,229.37701398230777,45.93604978524,0.0,0.13,0.0,Group 1,B,1101072.9321085,1650804.530549,C,0.0,0.0,0.13
19870735,228.68539534271451,228.26824751353053,229.25268854752593,41.342855414352705,0.0,0.02,0.0,Group 1,B,1101114.4101085,1650859.331549,C,0.0,0.0,0.02
6001189676,228.68539534271451,228.26824751353053,229.25268854752593,41.342855414352705,0.0,0.29,0.0,Group 1,B,1101110.3421085,1650863.249549,B,0.0,0.29,0.0
14428590,227.40659212183644,226.55188581563118,228.45322103934777,85.57384876636817,0.0,0.29,0.0,Group 1,B,1101169.5241085,1650862.8905490001,C,0.0,0.0,0.29
6100506180,226.36457386588984,225.1761085748631,227.76626630223942,123.58230624905069,0.0,0.0,0.18,Group 1,C,1101193.8391085,1650866.975549,A,0.18,0.0,0.0
16328307,226.36457386588984,225.1761085748631,227.76626630223942,123.58230624905069,0.19,0.0,0.0,Group 1,A,1101208.7641085,1650867.323549,C,0.0,0.0,0.19
6001243354,225.138909681252,223.42888034674925,226.9768947659938,171.85873261141117,0.4,0.0,0.0,Group 1,A,1101259.8791085,1650864.689549,A,0.4,0.0,0.0
28118287,223.32283682758532,221.9645648588059,225.6425757366605,287.2634523792657,0.15,0.0,0.0,Group 1,A,1101284.3521085,1650791.669549,A,0.15,0.0,0.0
5700200391,223.1761546628312,216.39304132850333,225.76435100904843,401.90745639045724,0.0,0.14,0.0,Group 1,B,1101486.4111085,1650855.702549,B,0.0,0.14,0.0
22039992,223.64332594600248,219.10158754808475,226.09155327652593,302.96722482442743,0.0,0.16,0.0,Group 1,B,1101381.9361085,1650864.1395490002,B,0.0,0.16,0.0
14428665,223.1566112659204,214.8625793201327,225.65885332680637,556.7982577197606,0.0,0.1,0.0,Group 1,B,1101633.2321085,1650831.118549,B,0.0,0.1,0.0
28997127,222.8739136852875,215.92435092386776,225.68805723909355,535.9280558377799,0.0,0.07,0.0,Group 1,B,1101387.0591085,1650801.848549,A,0.07,0.0,0.0
5801159737,223.1566112659204,214.8625793201327,225.65885332680637,556.7982577197606,0.0,0.06,0.0,Group 1,B,1101628.1781085,1650831.6665490002,B,0.0,0.06,0.0
23268071,228.94721444480993,229.68056860149875,229.51098629356716,39.883331423,0.0,0.0,0.0,Group 1,A,1101081.8601085,1650896.026549,C,0.0,0.0,0.0
